Def Pass Rank,Team,GP_pass_def,CMP_def,ATT_def,CMP%_def,PYA,PYPA_def,PYPG_def,TD_pass_def,INT_def,SCK_def,Week,Def Rec Rank,GP_rec_def,REC_def,RY_def,YP_def,RYPG_def,TD_rec_def,FUM_def,FL_def,Def Rush Rank,GP_def,ATT_rush_def,RY_rush_def,YPC_def,RYPG_rush_def,TD_def,FUM_rush_def,FL_rush_def,Off Pass Rank,GP_pass_off,ATT_off,CMP_off,CMP%_off,PY,PYPA_off,PYPG_off,TD_pass_off,INT_off,SCK_off,Off Rec Rank,GP_rec_off,REC_off,RY_off,YP_off,RYPG_off,TD_rec_off,FUM_off,FL_off,Off Rush Rank,GP_off,ATT_rush_off,RY_rush_off,YPC_off,RYPG_rush_off,TD_off,FUM_rush_off,FL_rush_off,Kick Rank,GP_kicking,FGM,FGA,FG%,FG%_Missing,XPA,XPM,XP%,XP%_Missing,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PYPG_Missing,PB,PR,PRYDS,PRYPG,PRYPG_Missing,Return Rank,GP,KR,KRYDS,KRYPG,KRYPG_Missing,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRYPG_return_Missing,PRLNG,PRT,Win
12,PHI,1,21,37,56.8,205,5.5,205,2,1,1,Week 1,12,1,21,205,5.5,205,2,1,0,28,1,28,181,6.5,181,3,1,0,14,1,32,18,56.3,239,7.5,239,0,0,1,14,1,18,239,7.5,239,0,0,0,3,1,39,216,5.5,216,4,0,0,18,1,1,1,100,0,5,5,100,0,23,1,3,137,45.7,0,0,2,13,6.5,0,17,19,31,692,22.3,0,66,0,35,323,9.2,0,27,0,1
13,CLE,1,16,27,59.3,207,7.7,207,1,1,4,Week 1,13,1,16,207,7.7,207,1,5,0,2,1,19,54,2.8,54,2,5,0,31,1,34,18,52.9,138,4.1,138,1,0,1,31,1,18,138,4.1,138,1,1,0,2,1,39,217,5.6,217,1,1,0,1,1,4,4,100,0,2,2,100,0,18,1,4,187,46.8,0,0,5,29,5.8,0,15,17,41,943,23,0,48,0,31,298,9.6,0,76,1,1
14,NYJ,1,17,30,56.7,211,7,211,3,1,2,Week 1,14,1,17,211,7,211,3,1,0,3,1,21,63,3,63,0,1,0,6,1,59,37,62.7,297,5,297,1,1,3,6,1,37,297,5,297,1,2,1,21,1,17,83,4.9,83,0,2,1,16,1,1,2,50,0,1,0,0,0,29,1,6,253,42.2,0,0,2,30,15,0,22,17,31,672,21.7,0,42,0,21,240,11.4,0,22,0,0
15,NO,1,20,33,60.6,215,6.5,215,0,0,0,Week 1,15,1,20,215,6.5,215,0,3,2,29,1,38,201,5.3,201,2,3,2,15,1,34,23,67.6,234,6.9,234,2,0,4,15,1,23,234,6.9,234,2,1,1,9,1,19,151,7.9,151,1,1,1,10,1,2,3,66.7,0,1,1,100,0,3,1,5,272,54.4,0,0,1,12,12,0,19,17,27,595,22,0,33,0,27,243,9,0,42,0,1
16,IND,1,23,37,62.2,222,6,222,2,0,3,Week 1,16,1,23,222,6,222,2,1,1,10,1,28,77,2.8,77,0,1,1,2,1,50,32,64,340,6.8,340,1,1,2,2,1,32,340,6.8,340,1,5,1,6,1,38,177,4.7,177,1,5,1,12,1,2,3,66.7,0,2,2,100,0,28,1,4,179,44.8,0,0,5,34,6.8,0,1,17,43,1197,27.8,0,89,0,34,273,8,0,24,0,2
17,MIN,1,26,39,66.7,227,5.8,227,0,1,4,Week 1,17,1,26,227,5.8,227,0,1,1,18,1,18,111,6.2,111,1,1,1,9,1,32,23,71.9,269,8.4,269,2,0,1,9,1,23,269,8.4,269,2,0,0,12,1,28,126,4.5,126,0,0,0,6,1,3,3,100,0,2,2,100,0,19,1,5,232,46.4,0,0,1,7,7,0,6,18,37,944,25.5,0,97,1,27,167,6.2,0,25,0,1
18,ATL,1,23,34,67.6,234,6.9,234,2,0,4,Week 1,18,1,23,234,6.9,234,2,1,1,24,1,19,151,7.9,151,1,1,1,18,1,33,20,60.6,215,6.5,215,0,0,0,18,1,20,215,6.5,215,0,3,2,4,1,38,201,5.3,201,2,3,2,2,1,4,5,80,0,2,2,100,0,25,1,4,180,45,0,0,3,42,14,0,16,17,28,634,22.6,0,103,1,18,292,16.2,0,56,0,0
19,DET,1,18,32,56.3,239,7.5,239,0,0,1,Week 1,19,1,18,239,7.5,239,0,0,0,30,1,39,216,5.5,216,4,0,0,21,1,37,21,56.8,205,5.5,205,2,1,1,21,1,21,205,5.5,205,2,1,0,5,1,28,181,6.5,181,3,1,0,26,1,0,0,0,1,5,5,100,0,20,1,4,185,46.3,0,0,3,15,5,0,4,17,34,889,26.1,0,52,0,20,264,13.2,0,47,1,0
20,NE,1,23,33,69.7,242,7.3,242,1,0,3,Week 1,20,1,23,242,7.3,242,1,2,0,5,1,23,65,2.8,65,0,2,0,23,1,30,21,70,193,6.4,193,1,1,2,23,1,21,193,6.4,193,1,2,2,22,1,22,78,3.5,78,0,2,2,29,1,0,0,0,1,1,1,100,0,31,1,3,118,39.3,0,0,2,12,6,0,13,17,36,856,23.8,0,46,0,39,419,10.7,0,84,1,0
21,LAC,1,22,37,59.5,256,6.9,256,2,3,6,Week 1,21,1,22,256,6.9,256,2,3,0,4,1,13,64,4.9,64,0,3,0,8,1,34,26,76.5,279,8.2,279,3,0,0,8,1,26,279,8.2,279,3,1,0,25,1,31,76,2.5,76,0,1,0,17,1,1,2,50,0,3,3,100,0,14,1,4,196,49,0,0,0,0,0,1,31,18,30,563,18.8,0,33,0,29,339,11.7,0,28,0,1
