Def Pass Rank,Team,GP_pass_def,CMP_def,ATT_def,CMP%_def,PYA,PYPA_def,PYPG_def,TD_pass_def,INT_def,SCK_def,Week,Def Rec Rank,GP_rec_def,REC_def,RY_def,YP_def,RYPG_def,TD_rec_def,FUM_def,FL_def,Def Rush Rank,GP_def,ATT_rush_def,RY_rush_def,YPC_def,RYPG_rush_def,TD_def,FUM_rush_def,FL_rush_def,Off Pass Rank,GP_pass_off,ATT_off,CMP_off,CMP%_off,PY,PYPA_off,PYPG_off,TD_pass_off,INT_off,SCK_off,Off Rec Rank,GP_rec_off,REC_off,RY_off,YP_off,RYPG_off,TD_rec_off,FUM_off,FL_off,Off Rush Rank,GP_off,ATT_rush_off,RY_rush_off,YPC_off,RYPG_rush_off,TD_off,FUM_rush_off,FL_rush_off,Kick Rank,GP_kicking,FGM,FGA,FG%,FG%_Missing,XPA,XPM,XP%,XP%_Missing,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PYPG_Missing,PB,PR,PRYDS,PRYPG,PRYPG_Missing,Return Rank,GP,KR,KRYDS,KRYPG,KRYPG_Missing,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRYPG_return_Missing,PRLNG,PRT,Win
10,SF,1,24,31,77.4,180,5.8,180,0,2,2,Week 2,10,1,24,180,5.8,180,0,1,1,1,1,14,36,2.6,36,0,1,1,22,1,24,15,62.5,184,7.7,184,1,0,1,22,1,15,184,7.7,184,1,1,0,3,1,45,189,4.2,189,2,1,0,8,1,2,3,66.7,0,3,3,100,0,23,1,3,132,44,0,0,3,23,7.7,0,2,1,0,0,0,1,0,0,3,23,7.7,0,14,0,1
11,SEA,1,15,24,62.5,184,7.7,184,1,0,1,Week 2,11,1,15,184,7.7,184,1,1,0,30,1,45,189,4.2,189,2,1,0,23,1,31,24,77.4,180,5.8,180,0,2,2,23,1,24,180,5.8,180,0,1,1,32,1,14,36,2.6,36,0,1,1,30,1,0,0,0,1,1,1,100,0,11,1,5,249,49.8,0,0,1,0,0,0,29,1,3,46,15.3,0,16,0,1,0,0,0,0,0,0
12,NO,1,18,34,52.9,188,5.5,188,1,0,1,Week 2,12,1,18,188,5.5,188,1,1,1,5,1,30,72,2.4,72,0,1,1,18,1,40,25,62.5,206,5.2,206,1,3,6,18,1,25,206,5.2,206,1,4,2,14,1,20,102,5.1,102,0,4,2,20,1,1,1,100,0,1,1,100,0,24,1,5,218,43.6,0,0,1,-6,-6,0,13,1,2,65,32.5,0,33,0,1,-6,-6,0,0,0,0
13,HOU,1,14,31,45.2,201,6.5,201,1,1,3,Week 2,13,1,14,201,6.5,201,1,0,0,25,1,31,149,4.8,149,0,0,0,28,1,38,19,50,154,4.1,154,0,0,3,28,1,19,154,4.1,154,0,2,0,26,1,18,80,4.4,80,0,2,0,2,1,3,3,100,0,0,0,0,1,7,1,5,268,53.6,0,0,1,7,7,0,20,1,1,22,22,0,22,0,1,7,7,0,7,0,0
14,PHI,1,27,46,58.7,202,4.4,202,1,3,2,Week 2,14,1,27,202,4.4,202,1,1,0,3,1,11,62,5.6,62,0,1,0,3,1,31,26,83.9,323,10.4,323,1,1,3,3,1,26,323,10.4,323,1,1,0,6,1,34,163,4.8,163,2,1,0,19,1,1,2,50,0,3,3,100,0,21,1,4,179,44.8,0,0,3,14,4.7,0,32,1,2,13,6.5,0,9,0,3,14,4.7,0,8,0,1
15,TB,1,25,40,62.5,206,5.2,206,1,3,6,Week 2,15,1,25,206,5.2,206,1,4,2,19,1,20,102,5.1,102,0,4,2,21,1,34,18,52.9,188,5.5,188,1,0,1,21,1,18,188,5.5,188,1,1,1,28,1,30,72,2.4,72,0,1,1,10,1,2,2,100,0,2,2,100,0,32,1,6,229,38.2,0,0,2,17,8.5,0,31,1,1,14,14,0,14,0,2,17,8.5,0,17,0,1
16,CHI,1,19,25,76,211,8.4,211,2,0,3,Week 2,16,1,19,211,8.4,211,2,3,1,32,1,38,203,5.3,203,1,3,1,32,1,11,7,63.6,48,4.4,48,0,1,3,32,1,7,48,4.4,48,0,1,0,5,1,27,180,6.7,180,1,1,0,21,1,1,1,100,0,1,1,100,0,12,1,4,198,49.5,0,0,0,0,0,1,19,1,5,115,23,0,30,0,0,0,0,1,0,0,0
17,NYJ,1,22,27,81.5,221,8.2,221,1,1,1,Week 2,17,1,22,221,8.2,221,1,0,0,29,1,37,184,5,184,3,0,0,6,1,45,27,60,309,6.9,309,4,0,2,6,1,27,309,6.9,309,4,2,1,18,1,20,93,4.7,93,0,2,1,16,1,1,1,100,0,4,4,100,0,15,1,4,189,47.3,0,0,1,16,16,0,17,1,3,75,25,0,27,0,1,16,16,0,16,0,1
18,LAC,1,24,35,68.6,226,6.5,226,2,0,1,Week 2,18,1,24,226,6.5,226,2,0,0,15,1,18,93,5.2,93,0,0,0,2,1,48,33,68.8,326,6.8,326,3,1,2,2,1,33,326,6.8,326,3,0,0,27,1,24,75,3.1,75,0,0,0,22,1,1,1,100,0,3,3,100,0,30,1,6,243,40.5,0,0,2,17,8.5,0,21,1,2,43,21.5,0,30,0,2,17,8.5,0,12,0,0
19,CIN,1,19,31,61.3,230,7.4,230,1,0,1,Week 2,19,1,19,230,7.4,230,1,1,1,21,1,27,107,4,107,1,1,1,25,1,36,24,66.7,165,4.6,165,1,0,6,25,1,24,165,4.6,165,1,1,0,21,1,25,89,3.6,89,0,1,0,6,1,3,3,100,0,0,0,0,1,17,1,5,236,47.2,0,0,1,20,20,0,6,1,0,0,0,1,0,0,1,20,20,0,20,0,0
20,WAS,1,20,34,58.8,234,6.9,234,4,0,3,Week 2,20,1,20,234,6.9,234,4,0,0,31,1,24,191,8,191,0,0,0,7,1,46,30,65.2,308,6.7,308,3,1,5,7,1,30,308,6.7,308,3,1,0,22,1,21,88,4.2,88,1,1,0,29,1,0,0,0,1,2,1,50,0,16,1,6,284,47.3,0,0,3,33,11,0,22,1,6,128,21.3,0,33,0,3,33,11,0,19,0,0
21,IND,1,25,30,83.3,235,7.8,235,2,0,0,Week 2,21,1,25,235,7.8,235,2,0,0,17,1,37,96,2.6,96,1,0,0,26,1,30,16,53.3,164,5.5,164,0,3,5,26,1,16,164,5.5,164,0,2,0,31,1,13,54,4.2,54,0,2,0,31,1,0,0,0,1,0,0,0,1,19,1,5,227,45.4,0,0,3,3,1,0,26,1,3,58,19.3,0,24,0,3,3,1,0,8,0,0
22,AZ,1,25,39,64.1,244,6.3,244,2,0,1,Week 2,22,1,25,244,6.3,244,2,2,1,8,1,21,80,3.8,80,0,2,1,9,1,49,31,63.3,270,5.5,270,1,1,1,9,1,31,270,5.5,270,1,0,0,10,1,28,143,5.1,143,2,0,0,32,1,0,0,0,1,1,1,100,0,20,1,3,136,45.3,0,0,2,21,10.5,0,25,1,2,40,20,0,22,0,2,21,10.5,0,18,0,1
23,PIT,1,21,35,60,252,7.2,252,1,1,0,Week 2,23,1,21,252,7.2,252,1,0,0,22,1,31,124,4,124,1,0,0,29,1,33,21,63.6,152,4.6,152,1,1,3,29,1,21,152,4.6,152,1,1,1,19,1,22,91,4.1,91,0,1,1,9,1,2,2,100,0,0,0,0,1,9,1,4,207,51.8,0,0,1,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0
24,LV,1,31,49,63.3,270,5.5,270,1,1,1,Week 2,24,1,31,270,5.5,270,1,0,0,23,1,28,143,5.1,143,2,0,0,11,1,39,25,64.1,244,6.3,244,2,0,1,11,1,25,244,6.3,244,2,2,1,25,1,21,80,3.8,80,0,2,1,3,1,3,3,100,0,2,2,100,0,6,1,3,161,53.7,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0
25,ATL,1,27,36,75,272,7.6,272,3,2,1,Week 2,25,1,27,272,7.6,272,3,1,1,4,1,26,65,2.5,65,1,1,1,24,1,26,17,65.4,171,6.6,171,2,2,3,24,1,17,171,6.6,171,2,2,1,20,1,27,90,3.3,90,0,2,1,17,1,1,2,50,0,2,2,100,0,22,1,1,44,44,0,0,0,0,0,1,15,1,1,27,27,0,27,0,0,0,0,1,0,0,0
26,DET,1,30,46,65.2,308,6.7,308,3,1,5,Week 2,26,1,30,308,6.7,308,3,1,0,11,1,21,88,4.2,88,1,1,0,13,1,34,20,58.8,234,6.9,234,4,0,3,13,1,20,234,6.9,234,4,0,0,2,1,24,191,8,191,0,0,0,7,1,2,2,100,0,4,4,100,0,5,1,5,277,55.4,0,0,1,8,8,0,11,1,2,85,42.5,0,52,0,1,8,8,0,8,0,1
27,CLE,1,27,45,60,309,6.9,309,4,0,2,Week 2,27,1,27,309,6.9,309,4,2,1,16,1,20,93,4.7,93,0,2,1,16,1,27,22,81.5,221,8.2,221,1,1,1,16,1,22,221,8.2,221,1,0,0,4,1,37,184,5,184,3,0,0,25,1,1,1,100,0,4,3,75,0,8,1,3,156,52,0,0,2,13,6.5,0,12,1,2,67,33.5,0,44,0,2,13,6.5,0,13,0,0
28,TEN,1,26,40,65,313,7.8,313,4,0,1,Week 2,28,1,26,313,7.8,313,4,0,0,18,1,24,101,4.2,101,0,0,0,31,1,24,12,50,107,4.5,107,0,2,2,31,1,12,107,4.5,107,0,3,2,24,1,27,80,3,80,1,3,2,27,1,0,0,0,1,1,1,100,0,3,1,6,333,55.5,0,0,2,0,0,0,24,1,2,40,20,0,20,0,2,0,0,0,0,0,0
29,MIA,1,21,29,72.4,318,11,318,3,0,0,Week 2,29,1,21,318,11,318,3,1,0,26,1,25,155,6.2,155,1,1,0,1,1,50,36,72,461,9.2,461,6,2,1,1,1,36,461,9.2,461,6,0,0,23,1,18,86,4.8,86,0,0,0,28,1,0,0,0,1,6,6,100,0,29,1,2,82,41,0,0,1,8,8,0,27,1,1,18,18,0,18,0,1,8,8,0,8,0,1
30,MIN,1,26,31,83.9,323,10.4,323,1,1,3,Week 2,30,1,26,323,10.4,323,1,1,0,27,1,34,163,4.8,163,2,1,0,19,1,46,27,58.7,202,4.4,202,1,3,2,19,1,27,202,4.4,202,1,1,0,30,1,11,62,5.6,62,0,1,0,26,1,0,0,0,1,1,1,100,0,13,1,5,246,49.2,0,0,2,5,2.5,0,23,1,2,42,21,0,22,0,2,5,2.5,0,4,0,0
31,KC,1,33,48,68.8,326,6.8,326,3,1,2,Week 2,31,1,33,326,6.8,326,3,0,0,6,1,24,75,3.1,75,0,0,0,15,1,35,24,68.6,226,6.5,226,2,0,1,15,1,24,226,6.5,226,2,0,0,17,1,18,93,5.2,93,0,0,0,12,1,2,2,100,0,3,3,100,0,4,1,6,333,55.5,0,0,2,6,3,0,9,1,0,0,0,1,0,0,2,6,3,0,6,0,1
32,BAL,1,36,50,72,461,9.2,461,6,2,1,Week 2,32,1,36,461,9.2,461,6,0,0,10,1,18,86,4.8,86,0,0,0,4,1,29,21,72.4,318,11,318,3,0,0,4,1,21,318,11,318,3,1,0,7,1,25,155,6.2,155,1,1,0,23,1,1,1,100,0,5,5,100,0,31,1,2,81,40.5,0,0,1,5,5,0,10,1,1,103,103,0,103,1,1,5,5,0,5,0,0
1,HOU,1,8,17,47.1,82,4.8,82,0,2,5,Week 3,1,1,8,82,4.8,82,0,2,0,32,1,40,281,7,281,2,2,0,19,1,32,20,62.5,237,7.4,237,1,2,1,19,1,20,237,7.4,237,1,3,0,19,1,24,92,3.8,92,1,3,0,13,1,2,2,100,0,2,2,100,0,14,1,5,242,48.4,0,0,1,31,31,0,2,1,0,0,0,1,0,0,1,31,31,0,31,0,0
2,NO,1,12,25,48,148,5.9,148,1,0,3,Week 3,2,1,12,148,5.9,148,1,0,0,25,1,31,145,4.7,145,0,0,0,2,1,41,25,61,342,8.3,342,1,2,1,2,1,25,342,8.3,342,1,4,1,22,1,22,84,3.8,84,1,4,1,30,1,0,2,0,0,2,2,100,0,17,1,6,285,47.5,0,0,2,17,8.5,0,25,1,3,56,18.7,0,24,0,2,17,8.5,0,14,0,0
3,PHI,1,25,43,58.1,153,3.6,153,0,0,9,Week 3,3,1,25,153,3.6,153,0,2,1,12,1,22,87,4,87,1,2,1,3,1,35,22,62.9,328,9.4,328,3,0,3,3,1,22,328,9.4,328,3,1,0,25,1,30,72,2.4,72,0,1,0,17,1,1,1,100,0,3,3,100,0,20,1,6,277,46.2,0,0,6,46,7.7,0,8,1,0,0,0,1,0,0,6,46,7.7,0,12,0,1
4,SF,1,20,33,60.6,160,4.8,160,0,0,4,Week 3,4,1,20,160,4.8,160,0,2,0,17,1,33,101,3.1,101,1,2,0,25,1,29,18,62.1,179,6.2,179,1,1,4,25,1,18,179,6.2,179,1,3,2,20,1,19,88,4.6,88,0,3,2,25,1,1,1,100,0,1,1,100,0,7,1,7,362,51.7,0,0,5,40,8,0,32,1,2,23,11.5,0,15,0,5,40,8,0,18,0,0
5,DAL,1,20,37,54.1,169,4.6,169,0,1,5,Week 3,5,1,20,169,4.6,169,0,0,0,27,1,25,167,6.7,167,1,0,0,20,1,31,21,67.7,215,6.9,215,1,0,0,20,1,21,215,6.9,215,1,0,0,4,1,30,176,5.9,176,1,0,0,3,1,3,4,75,0,2,2,100,0,25,1,4,178,44.5,0,0,1,28,28,0,16,1,1,24,24,0,24,0,1,28,28,0,28,0,1
6,BUF,1,13,20,65,171,8.6,171,1,0,2,Week 3,6,1,13,171,8.6,171,1,0,0,3,1,17,41,2.4,41,2,0,0,1,1,63,42,66.7,382,6.1,382,2,0,4,1,1,42,382,6.1,382,2,4,1,12,1,23,115,5,115,0,4,1,23,1,1,2,50,0,2,2,100,0,32,1,1,31,31,0,0,3,32,10.7,0,29,1,1,17,17,0,17,0,3,32,10.7,0,14,0,0
7,KC,1,27,37,73,177,4.8,177,2,0,5,Week 3,7,1,27,177,4.8,177,2,2,1,10,1,27,82,3,82,0,2,1,12,1,36,20,55.6,257,7.1,257,1,1,1,12,1,20,257,7.1,257,1,2,1,29,1,23,58,2.5,58,1,2,1,20,1,1,2,50,0,1,0,0,0,3,1,3,170,56.7,0,0,2,12,6,0,24,1,5,94,18.8,0,29,0,2,12,6,0,12,0,0
8,DEN,1,18,29,62.1,179,6.2,179,1,1,4,Week 3,8,1,18,179,6.2,179,1,3,2,13,1,19,88,4.6,88,0,3,2,29,1,33,20,60.6,160,4.8,160,0,0,4,29,1,20,160,4.8,160,0,2,0,16,1,33,101,3.1,101,1,2,0,21,1,1,2,50,0,0,0,0,1,16,1,10,476,47.6,0,0,1,9,9,0,30,1,1,14,14,0,14,0,1,9,9,0,9,0,1
9,CLE,1,20,32,62.5,204,6.4,204,0,0,1,Week 3,9,1,20,204,6.4,204,0,2,1,18,1,22,104,4.7,104,2,2,1,23,1,31,21,67.7,205,6.6,205,2,0,2,23,1,21,205,6.6,205,2,0,0,5,1,38,171,4.5,171,1,0,0,27,1,1,1,100,0,3,2,66.7,0,30,1,5,203,40.6,0,0,2,11,5.5,0,31,1,2,27,13.5,0,15,0,2,11,5.5,0,7,0,1
10,PIT,1,21,31,67.7,205,6.6,205,2,0,2,Week 3,10,1,21,205,6.6,205,2,0,0,28,1,38,171,4.5,171,1,0,0,24,1,32,20,62.5,204,6.4,204,0,0,1,24,1,20,204,6.4,204,0,2,1,15,1,22,104,4.7,104,2,2,1,22,1,1,2,50,0,2,2,100,0,29,1,5,212,42.4,0,0,0,0,0,1,27,1,1,18,18,0,18,0,0,0,0,1,0,0,0
11,NE,1,18,29,62.1,206,7.1,206,4,1,4,Week 3,11,1,18,206,7.1,206,4,1,1,31,1,26,188,7.2,188,1,1,1,5,1,32,22,68.8,302,9.4,302,0,3,3,5,1,22,302,9.4,302,0,3,1,9,1,28,145,5.2,145,3,3,1,14,1,2,2,100,0,2,2,100,0,10,1,2,100,50,0,0,2,13,6.5,0,19,1,2,45,22.5,0,26,0,2,13,6.5,0,13,0,0
12,SEA,1,13,20,65,207,10.4,207,1,1,3,Week 3,12,1,13,207,10.4,207,1,2,1,30,1,31,179,5.8,179,2,2,1,4,1,44,32,72.7,308,7,308,2,1,2,4,1,32,308,7,308,2,0,0,13,1,23,112,4.9,112,0,0,0,4,1,3,3,100,0,2,2,100,0,9,1,2,102,51,0,0,0,0,0,1,14,1,2,52,26,0,30,0,0,0,0,1,0,0,0
13,NYG,1,21,31,67.7,215,6.9,215,1,0,0,Week 3,13,1,21,215,6.9,215,1,0,0,29,1,30,176,5.9,176,1,0,0,28,1,37,20,54.1,169,4.6,169,0,1,5,28,1,20,169,4.6,169,0,0,0,6,1,25,167,6.7,167,1,0,0,9,1,3,4,75,0,1,1,100,0,22,1,3,135,45,0,0,2,1,0.5,0,1,1,0,0,0,1,0,0,2,1,0.5,0,1,0,0
14,CHI,1,20,32,62.5,237,7.4,237,1,2,1,Week 3,14,1,20,237,7.4,237,1,3,0,14,1,24,92,3.8,92,1,3,0,32,1,17,8,47.1,82,4.8,82,0,2,5,32,1,8,82,4.8,82,0,2,0,1,1,40,281,7,281,2,2,0,6,1,3,3,100,0,2,2,100,0,21,1,4,182,45.5,0,0,2,1,0.5,0,28,1,3,52,17.3,0,20,0,2,1,0.5,0,1,0,1
15,AZ,1,18,25,72,239,9.6,239,0,0,1,Week 3,15,1,18,239,9.6,239,0,1,1,16,1,20,100,5,100,2,1,1,7,1,58,37,63.8,295,5.1,295,0,0,2,7,1,37,295,5.1,295,0,1,0,26,1,21,70,3.3,70,0,1,0,1,1,4,4,100,0,0,0,0,1,31,1,4,160,40,0,0,3,12,4,0,3,1,0,0,0,1,0,0,3,12,4,0,10,0,0
16,TB,1,27,35,77.1,248,7.1,248,2,1,1,Week 3,16,1,27,248,7.1,248,2,2,1,5,1,25,67,2.7,67,0,2,1,15,1,42,31,73.8,251,6,251,1,0,3,15,1,31,251,6,251,1,3,2,31,1,14,34,2.4,34,0,3,2,10,1,2,2,100,0,0,0,0,1,11,1,6,297,49.5,0,0,3,26,8.7,0,22,1,1,20,20,0,20,0,3,26,8.7,0,16,0,0
17,DET,1,24,41,58.5,250,6.1,250,2,0,1,Week 3,17,1,24,250,6.1,250,2,2,1,22,1,25,123,4.9,123,2,2,1,9,1,41,25,61,277,6.8,277,1,1,0,9,1,25,277,6.8,277,1,0,0,10,1,35,139,4,139,2,0,0,19,1,1,3,33.3,0,3,3,100,0,24,1,3,134,44.7,0,0,2,23,11.5,0,23,1,3,60,20,0,24,0,2,23,11.5,0,12,0,0
18,GB,1,31,42,73.8,251,6,251,1,0,3,Week 3,18,1,31,251,6,251,1,3,2,2,1,14,34,2.4,34,0,3,2,17,1,35,27,77.1,248,7.1,248,2,1,1,17,1,27,248,7.1,248,2,2,1,28,1,25,67,2.7,67,0,2,1,31,1,0,0,0,1,2,2,100,0,13,1,7,339,48.4,0,0,2,21,10.5,0,7,1,0,0,0,1,0,0,2,21,10.5,0,14,0,1
19,LV,1,19,27,70.4,252,9.3,252,1,1,1,Week 3,20,1,19,252,9.3,252,1,1,0,19,1,27,109,4,109,2,1,0,6,1,45,27,60,300,6.7,300,2,1,1,6,1,27,300,6.7,300,2,2,0,18,1,19,96,5.1,96,0,2,0,7,1,3,3,100,0,1,1,100,0,15,1,3,144,48,0,0,1,13,13,0,17,1,1,23,23,0,23,0,1,13,13,0,13,0,0
20,CIN,1,28,52,53.8,252,4.8,252,0,2,4,Week 3,19,1,28,252,4.8,252,0,3,2,9,1,20,76,3.8,76,0,3,2,11,1,36,23,63.9,261,7.3,261,3,0,2,11,1,23,261,7.2,261,3,2,1,27,1,28,69,2.5,69,0,2,1,15,1,2,3,66.7,0,3,3,100,0,18,1,3,142,47.3,0,0,2,23,11.5,0,6,1,0,0,0,1,0,0,2,23,11.5,0,15,0,1
21,IND,1,20,36,55.6,257,7.1,257,1,1,1,Week 3,21,1,20,257,7.1,257,1,2,1,4,1,23,58,2.5,58,1,2,1,26,1,37,27,73,177,4.8,177,2,0,5,26,1,27,177,4.8,177,2,2,1,23,1,27,82,3,82,0,2,1,12,1,2,2,100,0,2,2,100,0,8,1,3,154,51.3,0,0,1,10,10,0,12,1,2,57,28.5,0,31,0,1,10,10,0,10,0,1
22,NYJ,1,23,36,63.9,261,7.3,261,3,0,2,Week 3,22,1,23,261,7.2,261,3,2,1,6,1,28,69,2.5,69,0,2,1,13,1,52,28,53.8,252,4.8,252,0,2,4,13,1,28,252,4.8,252,0,3,2,24,1,20,76,3.8,76,0,3,2,2,1,4,4,100,0,0,0,0,1,12,1,3,146,48.7,0,0,1,10,10,0,21,1,1,20,20,0,20,0,1,10,10,0,10,0,0
23,LAC,1,28,39,71.8,262,6.7,262,3,0,0,Week 3,23,1,28,262,6.7,262,3,0,0,26,1,36,151,4.2,151,1,0,0,8,1,45,25,55.6,286,6.4,286,1,1,1,8,1,25,286,6.4,286,1,1,1,32,1,12,26,2.2,26,0,1,1,26,1,1,1,100,0,1,1,100,0,27,1,4,175,43.8,0,0,1,6,6,0,20,1,2,41,20.5,0,27,0,1,6,6,0,6,0,0
24,MIN,1,25,41,61,277,6.8,277,1,1,0,Week 3,24,1,25,277,6.8,277,1,0,0,23,1,35,139,4,139,2,0,0,16,1,41,24,58.5,250,6.1,250,2,0,1,16,1,24,250,6.1,250,2,2,1,11,1,25,123,4.9,123,2,2,1,29,1,0,2,0,0,4,4,100,0,6,1,3,156,52,0,0,2,20,10,0,18,1,5,115,23,0,29,0,2,20,10,0,11,0,1
25,JAX,1,25,45,55.6,286,6.4,286,1,1,1,Week 3,25,1,25,286,6.4,286,1,1,1,1,1,12,26,2.2,26,0,1,1,10,1,39,28,71.8,262,6.7,262,3,0,0,10,1,28,262,6.7,262,3,0,0,7,1,36,151,4.2,151,1,0,0,5,1,3,3,100,0,3,3,100,0,4,1,1,56,56,0,0,3,18,6,0,5,1,0,0,0,1,0,0,3,18,6,0,13,0,1
26,LAR,1,37,58,63.8,295,5.1,295,0,0,2,Week 3,26,1,37,295,5.1,295,0,1,0,7,1,21,70,3.3,70,0,1,0,18,1,25,18,72,239,9.6,239,0,0,1,18,1,18,239,9.6,239,0,1,1,17,1,20,100,5,100,2,1,1,16,1,2,2,100,0,2,2,100,0,23,1,3,135,45,0,0,4,44,11,0,9,1,1,31,31,0,31,0,4,44,11,0,22,0,1
27,TEN,1,27,45,60,300,6.7,300,2,1,1,Week 3,27,1,27,300,6.7,300,2,2,0,15,1,19,96,5.1,96,0,2,0,14,1,27,19,70.4,252,9.3,252,1,1,1,14,1,19,252,9.3,252,1,1,0,14,1,27,109,4,109,2,1,0,18,1,1,1,100,0,3,3,100,0,2,1,3,181,60.3,0,0,1,21,21,0,11,1,1,29,29,0,29,0,1,21,21,0,21,0,1
28,BAL,1,22,32,68.8,302,9.4,302,0,3,3,Week 3,28,1,22,302,9.4,302,0,3,1,24,1,28,145,5.2,145,3,3,1,22,1,29,18,62.1,206,7.1,206,4,1,4,22,1,18,206,7.1,206,4,1,1,2,1,26,188,7.2,188,1,1,1,24,1,1,1,100,0,5,4,80,0,26,1,3,133,44.3,0,0,2,55,27.5,0,15,1,1,25,25,0,25,0,2,55,27.5,0,43,0,1
29,ATL,1,32,44,72.7,308,7,308,2,1,2,Week 3,29,1,32,308,7,308,2,0,0,20,1,23,112,4.9,112,0,0,0,21,1,20,13,65,207,10.4,207,1,1,3,21,1,13,207,10.4,207,1,2,1,3,1,31,179,5.8,179,2,2,1,11,1,2,2,100,0,3,3,100,0,1,1,1,73,73,0,0,1,6,6,0,4,1,0,0,0,1,0,0,1,6,6,0,6,0,1
30,WAS,1,22,35,62.9,328,9.4,328,3,0,3,Week 3,30,1,22,328,9.4,328,3,1,0,8,1,30,72,2.4,72,0,1,0,30,1,43,25,58.1,153,3.6,153,0,0,9,30,1,25,153,3.6,153,0,2,1,21,1,22,87,4,87,1,2,1,28,1,0,0,0,1,0,0,0,1,5,1,8,420,52.5,0,0,0,0,0,1,10,1,1,29,29,0,29,0,0,0,0,1,0,0,0
31,CAR,1,25,41,61,342,8.3,342,1,2,1,Week 3,31,1,25,342,8.3,342,1,4,1,11,1,22,84,3.8,84,1,4,1,31,1,25,12,48,148,5.9,148,1,0,3,31,1,12,148,5.9,148,1,0,0,8,1,31,145,4.7,145,0,0,0,8,1,3,3,100,0,1,1,100,0,19,1,6,281,46.8,0,0,3,22,7.3,0,13,1,2,54,27,0,36,0,3,22,7.3,0,12,0,1
32,MIA,1,42,63,66.7,382,6.1,382,2,0,4,Week 3,32,1,42,382,6.1,382,2,4,1,21,1,23,115,5,115,0,4,1,27,1,20,13,65,171,8.6,171,1,0,2,27,1,13,171,8.6,171,1,0,0,30,1,17,41,2.4,41,2,0,0,32,1,0,0,0,1,3,3,100,0,28,1,5,218,43.6,0,0,0,0,0,1,26,1,3,54,18,0,23,0,0,0,0,1,0,0,1
1,CHI,1,9,16,56.3,71,4.4,71,0,1,1,Week 4,1,1,9,71,4.4,71,0,2,1,32,1,44,262,6,262,2,2,1,25,1,22,11,50,155,7,155,0,0,6,26,1,11,155,7,155,0,6,3,11,1,32,149,4.7,149,0,6,3,2,1,4,4,100,0,0,0,0,1,7,1,5,264,52.8,0,0,2,19,9.5,0,17,1,2,44,22,0,22,0,2,19,9.5,0,19,0,0
2,GB,1,15,21,71.4,104,5,104,1,0,4,Week 4,2,1,15,104,5,104,1,1,1,24,1,33,167,5.1,167,1,1,1,10,1,35,21,60,244,7,244,2,1,1,10,1,21,244,7,244,2,2,1,6,1,35,199,5.7,199,1,2,1,16,1,2,2,100,0,3,3,100,0,26,1,5,210,42,0,0,2,11,5.5,0,18,1,3,66,22,0,34,0,2,11,5.5,0,7,0,1
3,IND,1,17,21,81,116,5.5,116,2,0,3,Week 4,3,1,17,116,5.5,116,2,0,0,17,1,28,127,4.5,127,1,0,0,4,1,37,27,73,327,8.8,327,2,1,3,4,1,27,327,8.8,327,2,3,2,31,1,23,38,1.7,38,0,3,2,20,1,1,2,50,0,2,2,100,0,32,1,2,67,33.5,0,0,2,20,10,0,1,1,0,0,0,1,0,0,2,20,10,0,14,0,0
4,CLE,1,7,19,36.8,131,6.9,131,0,1,1,Week 4,4,1,7,131,6.9,131,0,1,0,28,1,35,202,5.8,202,2,1,0,14,1,35,21,60,226,6.5,226,0,1,1,14,1,21,226,6.5,226,0,1,1,8,1,35,177,5.1,177,2,1,1,15,1,2,2,100,0,2,2,100,0,17,1,3,144,48,0,0,2,7,3.5,0,27,1,2,34,17,0,18,0,2,7,3.5,0,6,0,0
5,BUF,1,20,29,69,134,4.6,134,1,2,2,Week 4,5,1,20,134,4.6,134,1,0,0,23,1,33,162,4.9,162,1,0,0,19,1,36,19,52.8,201,5.6,201,1,1,1,19,1,19,201,5.6,201,1,2,1,17,1,25,125,5,125,1,2,1,6,1,3,3,100,0,2,2,100,0,20,1,3,136,45.3,0,0,1,7,7,0,15,1,2,46,23,0,42,0,1,7,7,0,7,0,1
6,PHI,1,11,23,47.8,148,6.4,148,2,1,4,Week 4,6,1,11,148,6.4,148,2,5,4,7,1,19,71,3.7,71,0,5,4,21,1,25,16,64,191,7.6,191,0,1,2,21,1,16,191,7.6,191,0,1,0,4,1,50,210,4.2,210,4,1,0,30,1,1,1,100,0,3,2,66.7,0,23,1,3,134,44.7,0,0,1,2,2,0,16,1,3,69,23,0,23,0,1,2,2,0,2,0,1
7,NYG,1,11,22,50,155,7,155,0,0,6,Week 4,7,1,11,155,7,155,0,6,3,22,1,32,149,4.7,149,0,6,3,32,1,16,9,56.3,71,4.4,71,0,1,1,32,1,9,71,4.4,71,0,2,1,1,1,44,262,6,262,2,2,1,17,1,2,3,66.7,0,2,2,100,0,4,1,5,273,54.6,0,0,2,5,2.5,0,29,1,2,33,16.5,0,19,0,2,5,2.5,0,5,0,1
