Kick Rank,Team,GP_kicking,FGM,FGA,FG%,XPA,XPM,XP%,Week,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PB,PR,PRYDS,PRYPG,Return Rank,GP,KR,KRYDS,KRYPG,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRLNG,PRT
14, NO,1,2,2,100.0,3,3,100.0,week 11,10,1,5,239,47.8,0,4,40,10.0,8,1,0,0,,0,0,4,40,10.0,17,0
15, CLE,1,1,2,50.0,2,2,100.0,week 11,24,1,3,127,42.3,0,0,0,,16,1,2,49,24.5,28,0,0,0,,0,0
16, NE,1,1,3,33.3,1,1,100.0,week 11,20,1,7,317,45.3,0,5,109,21.8,24,1,1,15,15.0,15,0,5,109,21.8,84,1
17, CHI,1,1,2,50.0,3,3,100.0,week 11,26,1,4,160,40.0,0,0,0,,9,1,1,55,55.0,55,0,0,0,,0,0
18, MIN,1,1,1,100.0,0,0,,week 11,8,1,7,338,48.3,0,1,3,3.0,17,1,2,48,24.0,25,0,1,3,3.0,3,0
19, HOU,1,1,1,100.0,1,1,100.0,week 11,12,1,6,286,47.7,0,2,14,7.0,6,1,0,0,,0,0,2,14,7.0,9,0
20, GB,1,1,1,100.0,1,0,0.0,week 11,13,1,4,189,47.3,0,3,42,14.0,21,1,5,108,21.6,32,0,3,42,14.0,24,0
21, AZ,1,1,1,100.0,1,1,100.0,week 11,21,1,4,181,45.3,0,1,15,15.0,1,1,0,0,,0,0,1,15,15.0,15,0
22, CAR,1,1,1,100.0,0,0,,week 11,22,1,6,265,44.2,0,2,-3,-1.5,28,1,1,8,8.0,8,0,2,-3,-1.5,0,0
23, NYJ,1,1,1,100.0,0,0,,week 11,18,1,10,458,45.8,0,2,9,4.5,23,1,3,49,16.3,21,0,2,9,4.5,9,0
24, SF,1,1,1,100.0,5,5,100.0,week 11,1,1,4,218,54.5,0,2,13,6.5,5,1,0,0,,0,0,2,13,6.5,7,0
25, DET,1,1,1,100.0,4,4,100.0,week 11,9,1,5,241,48.2,0,0,0,,12,1,2,62,31.0,36,0,0,0,,0,0
26, PHI,1,1,1,100.0,2,2,100.0,week 11,25,1,4,167,41.8,0,1,13,13.0,2,1,0,0,,0,0,1,13,13.0,13,0
27, NYG,1,0,0,,2,0,0.0,week 11,27,1,4,153,38.3,0,2,10,5.0,25,1,3,41,13.7,18,0,2,10,5.0,7,0
28, TEN,1,0,0,,4,3,75.0,week 11,3,1,3,152,50.7,0,2,12,6.0,22,1,4,80,20.0,27,0,2,12,6.0,9,0
1, NE,1,4,4,100.0,2,2,100.0,week 12,30,1,3,123,41.0,0,2,11,5.5,12,1,1,46,46.0,46,0,2,11,5.5,10,0
2, KC,1,4,4,100.0,2,2,100.0,week 12,18,1,1,49,49.0,0,1,0,0.0,2,1,0,0,,0,0,1,0,0.0,0,0
3, BAL,1,4,5,80.0,1,1,100.0,week 12,5,1,1,53,53.0,0,0,0,,32,1,3,35,11.7,15,0,0,0,,0,0
