Kick Rank,Team,GP_kicking,FGM,FGA,FG%,XPA,XPM,XP%,Week,Punt Rank,GP_punt,PUNTS,PYDS,PYPG,PB,PR,PRYDS,PRYPG,Return Rank,GP,KR,KRYDS,KRYPG,KRLNG,KRT,PR_return,PRYDS_return,PRYPG_return,PRLNG,PRT
4, MIA,1,3,3,100.0,2,2,100.0,week 15,27,1,4,167,41.8,0,0,0,,10,1,1,28,28.0,28,0,0,0,,0,0
5, CAR,1,3,3,100.0,1,1,100.0,week 15,8,1,4,194,48.5,0,0,0,,9,1,2,60,30.0,37,0,0,0,,0,0
6, DET,1,2,3,66.7,2,2,100.0,week 15,20,1,4,178,44.5,0,1,47,47.0,15,1,1,25,25.0,25,0,1,47,47.0,47,1
7, LAR,1,2,2,100.0,1,0,0.0,week 15,31,1,4,151,37.8,0,1,8,8.0,24,1,5,99,19.8,29,0,1,8,8.0,8,0
8, NYG,1,2,2,100.0,2,2,100.0,week 15,24,1,5,213,42.6,0,2,32,16.0,22,1,1,21,21.0,21,0,2,32,16.0,23,0
9, DAL,1,2,2,100.0,4,4,100.0,week 15,12,1,4,185,46.3,0,1,16,16.0,18,1,3,70,23.3,38,0,1,16,16.0,16,0
10, WAS,1,2,2,100.0,1,0,0.0,week 15,21,1,4,177,44.3,0,1,4,4.0,7,1,3,93,31.0,43,0,1,4,4.0,4,0
11, CLE,1,2,4,50.0,1,1,100.0,week 15,3,1,3,155,51.7,0,0,0,,20,1,1,21,21.0,21,0,0,0,,7,0
12, CIN,1,2,2,100.0,2,2,100.0,week 15,18,1,4,180,45.0,0,0,0,,16,1,2,48,24.0,28,0,0,0,,0,0
13, SEA,1,2,2,100.0,1,1,100.0,week 15,6,1,7,349,49.9,0,0,0,,11,1,3,83,27.7,31,0,0,0,,0,0
14, JAX,1,2,2,100.0,4,4,100.0,week 15,2,1,3,160,53.3,0,1,13,13.0,4,1,0,0,,0,0,1,13,13.0,13,0
15, PHI,1,1,2,50.0,2,2,100.0,week 15,17,1,2,90,45.0,0,1,7,7.0,8,1,3,92,30.7,58,0,1,7,7.0,7,0
16, BAL,1,1,3,33.3,0,0,,week 15,30,1,1,41,41.0,0,1,7,7.0,23,1,2,41,20.5,21,0,1,7,7.0,7,0
17, TB,1,1,2,50.0,2,2,100.0,week 15,4,1,1,51,51.0,0,2,14,7.0,29,1,3,48,16.0,22,0,2,14,7.0,9,0
18, NYJ,1,1,2,50.0,2,2,100.0,week 15,5,1,6,300,50.0,0,1,6,6.0,25,1,3,57,19.0,26,0,1,6,6.0,6,0
19, KC,1,1,2,50.0,2,1,50.0,week 15,9,1,4,193,48.3,0,2,8,4.0,30,1,3,47,15.7,17,0,2,8,4.0,5,0
20, DEN,1,1,2,50.0,3,3,100.0,week 15,19,1,5,224,44.8,0,4,23,5.8,26,1,1,19,19.0,19,0,4,23,5.8,8,0
21, HOU,1,1,1,100.0,3,3,100.0,week 15,10,1,5,234,46.8,0,3,23,7.7,1,1,0,0,,0,0,3,23,7.7,13,0
22, MIN,1,1,1,100.0,4,4,100.0,week 15,13,1,5,231,46.2,0,3,13,4.3,13,1,6,159,26.5,36,0,3,13,4.3,13,0
23, PIT,1,1,1,100.0,3,3,100.0,week 15,15,1,3,136,45.3,0,1,5,5.0,28,1,1,17,17.0,17,0,1,5,5.0,5,0
24, LAC,1,1,1,100.0,2,2,100.0,week 15,29,1,7,291,41.6,0,4,53,13.3,27,1,1,17,17.0,17,0,4,53,13.3,18,0
25, ATL,1,1,1,100.0,1,1,100.0,week 15,28,1,5,208,41.6,0,2,13,6.5,32,1,1,3,3.0,3,0,2,13,6.5,10,0
26, GB,1,1,1,100.0,3,3,100.0,week 15,32,1,1,37,37.0,0,2,36,18.0,17,1,4,95,23.8,52,0,2,36,18.0,19,0
27, BUF,1,1,1,100.0,3,3,100.0,week 15,23,1,5,215,43.0,0,1,0,0.0,14,1,3,76,25.3,36,0,1,0,0.0,0,0
28, LV,1,1,1,100.0,3,3,100.0,week 15,11,1,7,324,46.3,0,3,20,6.7,21,1,6,126,21.0,30,0,3,20,6.7,12,0
29, SF,1,0,1,0.0,3,3,100.0,week 15,25,1,6,253,42.2,0,2,17,8.5,6,1,2,67,33.5,39,0,2,17,8.5,9,0
30, TEN,1,0,1,0.0,2,2,100.0,week 15,1,1,7,392,56.0,0,2,0,0.0,31,1,1,6,6.0,6,0,2,0,0.0,0,0
31, NO,1,0,0,,3,3,100.0,week 15,14,1,4,181,45.3,0,2,1,0.5,2,1,0,0,,0,0,2,1,0.5,1,0
32, CHI,1,0,0,,3,2,66.7,week 15,26,1,6,252,42.0,0,2,24,12.0,12,1,2,53,26.5,29,0,2,24,12.0,20,0
1, TB,1,4,4,100.0,1,1,100.0,week 16,9,1,5,244,48.8,0,1,14,14.0,19,1,3,68,22.7,33,0,1,14,14.0,14,0
2, DAL,1,4,4,100.0,4,4,100.0,week 16,3,1,1,57,57.0,0,0,0,,4,1,1,31,31.0,31,0,0,0,,0,0
3, GB,1,4,4,100.0,2,2,100.0,week 16,15,1,1,46,46.0,0,1,2,2.0,5,1,5,152,30.4,93,0,1,2,2.0,2,0
4, JAX,1,4,5,80.0,1,1,100.0,week 16,32,1,2,64,32.0,0,1,4,4.0,14,1,1,25,25.0,25,0,1,4,4.0,4,0
5, NYG,1,3,3,100.0,1,1,100.0,week 16,20,1,3,129,43.0,0,2,8,4.0,12,1,1,26,26.0,26,0,2,8,4.0,4,0
6, ATL,1,3,3,100.0,0,0,,week 16,31,1,3,112,37.3,0,0,0,,28,1,4,67,16.8,23,0,0,0,,0,0
7, LAR,1,3,3,100.0,6,6,100.0,week 16,2,1,0,0,,0,1,12,12.0,32,1,1,7,7.0,7,0,1,12,12.0,12,0
8, CAR,1,3,3,100.0,4,4,100.0,week 16,28,1,3,117,39.0,0,4,11,2.8,18,1,2,46,23.0,29,0,4,11,2.8,11,0
9, SF,1,3,3,100.0,4,4,100.0,week 16,26,1,2,80,40.0,0,2,12,6.0,17,1,1,23,23.0,23,0,2,12,6.0,13,0
10, BAL,1,3,4,75.0,0,0,,week 16,29,1,3,115,38.3,0,2,14,7.0,22,1,3,65,21.7,24,0,2,14,7.0,9,0
11, AZ,1,3,3,100.0,1,1,100.0,week 16,16,1,7,322,46.0,0,5,71,14.2,27,1,1,17,17.0,17,0,5,71,14.2,28,0
12, DEN,1,2,2,100.0,0,0,,week 16,7,1,2,100,50.0,0,0,0,,6,1,1,29,29.0,29,0,0,0,,0,0
13, PIT,1,2,4,50.0,1,1,100.0,week 16,14,1,3,140,46.7,0,1,9,9.0,31,1,1,15,15.0,15,0,1,9,9.0,9,0
14, MIA,1,2,3,66.7,2,2,100.0,week 16,17,1,1,46,46.0,0,0,0,,26,1,7,122,17.4,27,0,0,0,,0,0
15, LAC,1,2,2,100.0,2,2,100.0,week 16,30,1,4,153,38.3,0,3,25,8.3,1,1,0,0,,0,0,3,25,8.3,16,0
16, MIN,1,2,2,100.0,3,3,100.0,week 16,11,1,5,241,48.2,0,1,7,7.0,2,1,0,0,,0,0,1,7,7.0,7,0
17, HOU,1,2,2,100.0,1,1,100.0,week 16,18,1,5,221,44.2,0,5,41,8.2,13,1,2,51,25.5,26,0,5,41,8.2,15,0
18, CHI,1,2,2,100.0,1,1,100.0,week 16,8,1,4,197,49.3,0,1,12,12.0,7,1,4,113,28.3,40,0,1,12,12.0,12,0
19, PHI,1,2,2,100.0,4,4,100.0,week 16,1,1,0,0,,0,0,0,,10,1,2,54,27.0,29,0,0,0,,0,0
20, NO,1,1,1,100.0,2,2,100.0,week 16,22,1,6,254,42.3,0,1,0,0.0,16,1,2,47,23.5,30,0,1,0,0.0,0,0
21, CIN,1,1,2,50.0,2,1,50.0,week 16,19,1,3,130,43.3,0,3,35,11.7,15,1,4,95,23.8,33,0,3,35,11.7,18,0
22, SEA,1,1,1,100.0,1,1,100.0,week 16,13,1,5,238,47.6,0,2,12,6.0,20,1,3,68,22.7,48,0,2,12,6.0,6,0
23, CLE,1,1,1,100.0,1,1,100.0,week 16,21,1,5,213,42.6,0,2,15,7.5,3,1,3,95,31.7,37,0,2,15,7.5,12,0
24, LV,1,1,1,100.0,1,1,100.0,week 16,23,1,5,208,41.6,0,1,13,13.0,29,1,3,50,16.7,23,0,1,13,13.0,13,0
25, IND,1,1,1,100.0,0,0,,week 16,10,1,3,146,48.7,0,0,0,,9,1,3,84,28.0,31,0,0,0,,0,0
26, NYJ,1,1,1,100.0,0,0,,week 16,25,1,5,201,40.2,0,0,0,,11,1,3,80,26.7,32,0,0,0,,0,0
27, KC,1,1,1,100.0,3,3,100.0,week 16,24,1,6,246,41.0,0,3,18,6.0,24,1,1,19,19.0,19,0,3,18,6.0,9,0
28, DET,1,1,1,100.0,2,2,100.0,week 16,5,1,4,206,51.5,0,0,0,,8,1,5,140,28.0,42,0,0,0,,0,0
29, WAS,1,0,0,,2,2,100.0,week 16,12,1,4,192,48.0,0,1,4,4.0,30,1,6,93,15.5,19,0,1,4,4.0,4,0
30, BUF,1,0,1,0.0,4,3,75.0,week 16,4,1,3,161,53.7,0,3,21,7.0,25,1,4,75,18.8,23,0,3,21,7.0,10,0
31, NE,1,0,0,,2,0,0.0,week 16,27,1,6,238,39.7,0,2,11,5.5,21,1,5,111,22.2,26,0,2,11,5.5,11,0
32, TEN,1,0,0,,2,2,100.0,week 16,6,1,6,301,50.2,0,2,16,8.0,23,1,4,85,21.3,28,0,2,16,8.0,10,0
1, AZ,1,4,5,80.0,1,1,100.0,week 17,30,1,1,34,34.0,0,1,14,14.0,18,1,1,25,25.0,25,0,1,14,14.0,14,0
2, PIT,1,3,4,75.0,1,1,100.0,week 17,5,1,2,99,49.5,0,0,0,,12,1,1,29,29.0,29,0,0,0,,0,0
3, SF,1,3,4,75.0,4,4,100.0,week 17,12,1,2,93,46.5,0,0,0,,22,1,2,48,24.0,26,0,0,0,,0,0
4, SEA,1,3,4,75.0,2,2,100.0,week 17,23,1,4,169,42.3,0,2,8,4.0,21,1,1,24,24.0,24,0,2,8,4.0,8,0
5, ATL,1,2,2,100.0,2,2,100.0,week 17,6,1,3,148,49.3,0,0,0,,25,1,1,23,23.0,23,0,0,0,,0,0
6, NYJ,1,2,3,66.7,0,0,,week 17,20,1,3,130,43.3,0,2,8,4.0,17,1,2,51,25.5,26,0,2,8,4.0,5,0
7, NO,1,2,2,100.0,2,2,100.0,week 17,21,1,6,256,42.7,0,3,18,6.0,15,1,1,27,27.0,27,0,3,18,6.0,9,0
8, BAL,1,2,2,100.0,1,1,100.0,week 17,17,1,4,179,44.8,0,1,2,2.0,10,1,2,83,41.5,56,0,1,2,2.0,2,0
9, DET,1,2,2,100.0,5,5,100.0,week 17,4,1,3,150,50.0,0,3,16,5.3,6,1,0,0,,0,0,3,16,5.3,10,0
10, LV,1,2,2,100.0,4,4,100.0,week 17,26,1,2,81,40.5,0,0,0,,7,1,0,0,,0,0,0,0,,0,0
11, TEN,1,2,2,100.0,1,1,100.0,week 17,8,1,5,237,47.4,0,0,0,,19,1,1,25,25.0,25,0,0,0,,0,0
12, DAL,1,2,2,100.0,3,3,100.0,week 17,28,1,3,121,40.3,0,3,29,9.7,1,1,0,0,,0,0,3,29,9.7,13,0
13, GB,1,2,2,100.0,5,5,100.0,week 17,25,1,2,81,40.5,0,2,25,12.5,8,1,1,105,105.0,105,1,2,25,12.5,15,0
14, IND,1,1,2,50.0,1,1,100.0,week 17,29,1,4,147,36.8,0,0,0,,13,1,4,115,28.8,36,0,0,0,,0,0
15, NYG,1,1,1,100.0,5,5,100.0,week 17,10,1,1,47,47.0,0,0,0,,27,1,2,40,20.0,23,0,0,0,,0,0
16, TB,1,1,3,33.3,2,1,50.0,week 17,15,1,5,227,45.4,0,0,0,,5,1,0,0,,0,0,0,0,,0,0
17, CAR,1,1,1,100.0,3,3,100.0,week 17,3,1,5,251,50.2,0,2,6,3.0,11,1,1,36,36.0,36,0,2,6,3.0,6,0
18, CLE,1,1,1,100.0,3,3,100.0,week 17,11,1,4,187,46.8,0,1,10,10.0,24,1,1,23,23.0,23,0,1,10,10.0,10,0
19, LAC,1,1,1,100.0,4,4,100.0,week 17,27,1,4,161,40.3,0,3,26,8.7,3,1,0,0,,0,0,3,26,8.7,11,0
20, NE,1,1,1,100.0,3,2,66.7,week 17,22,1,5,212,42.4,0,2,10,5.0,26,1,1,21,21.0,21,0,2,10,5.0,8,0
21, WAS,1,1,1,100.0,1,1,100.0,week 17,16,1,2,90,45.0,0,1,15,15.0,23,1,3,70,23.3,26,0,1,15,15.0,15,0
22, CHI,1,1,1,100.0,1,1,100.0,week 17,13,1,7,321,45.9,0,1,10,10.0,9,1,1,63,63.0,63,0,1,10,10.0,10,0
23, LAR,1,1,1,100.0,1,1,100.0,week 17,18,1,5,222,44.4,0,0,0,,2,1,0,0,,0,0,0,0,,0,0
24, PHI,1,1,1,100.0,1,1,100.0,week 17,24,1,6,251,41.8,0,1,7,7.0,30,1,1,15,15.0,15,0,1,7,7.0,7,0
25, MIN,1,1,3,33.3,2,2,100.0,week 17,7,1,2,95,47.5,0,1,0,0.0,14,1,5,141,28.2,39,0,1,0,0.0,0,0
26, HOU,1,1,1,100.0,0,0,,week 17,14,1,6,274,45.7,0,1,16,16.0,20,1,4,99,24.8,31,0,1,16,16.0,16,0
27, JAX,1,1,1,100.0,4,4,100.0,week 17,19,1,5,217,43.4,0,4,36,9.0,28,1,1,20,20.0,20,0,4,36,9.0,18,0
28, DEN,1,1,1,100.0,3,3,100.0,week 17,2,1,5,257,51.4,0,3,37,12.3,29,1,1,20,20.0,20,0,3,37,12.3,17,0
29, MIA,1,0,1,0.0,3,3,100.0,week 17,9,1,4,189,47.3,0,3,13,4.3,16,1,3,79,26.3,31,0,3,13,4.3,10,0
30, KC,1,0,1,0.0,3,3,100.0,week 17,1,1,5,263,52.6,0,2,14,7.0,4,1,0,0,,0,0,2,14,7.0,7,0
1, PHI,1,5,5,100.0,1,1,100.0,week 18,32,1,2,67,33.5,0,2,30,15.0,7,1,0,0,,0,0,2,30,15.0,16,0
2, SEA,1,4,5,80.0,1,1,100.0,week 18,19,1,5,233,46.6,0,2,24,12.0,14,1,1,29,29.0,29,0,2,24,12.0,20,0
3, ATL,1,3,3,100.0,3,3,100.0,week 18,7,1,3,154,51.3,0,0,0,,32,1,1,17,17.0,17,0,0,0,,0,0
4, GB,1,3,4,75.0,1,1,100.0,week 18,30,1,1,37,37.0,0,4,38,9.5,27,1,4,79,19.8,30,0,4,38,9.5,16,0
5, MIN,1,3,3,100.0,3,2,66.7,week 18,31,1,1,35,35.0,0,1,4,4.0,4,1,0,0,,0,0,1,4,4.0,4,0
6, TEN,1,3,3,100.0,1,1,100.0,week 18,4,1,3,166,55.3,0,1,2,2.0,21,1,3,71,23.7,25,0,1,2,2.0,2,0
7, BAL,1,3,3,100.0,1,1,100.0,week 18,20,1,3,137,45.7,0,1,8,8.0,17,1,2,51,25.5,30,0,1,8,8.0,8,0
8, MIA,1,3,3,100.0,0,0,,week 18,22,1,4,181,45.3,0,0,0,,3,1,0,0,,0,0,0,0,,0,0
9, LAR,1,3,3,100.0,1,1,100.0,week 18,15,1,6,286,47.7,0,3,22,7.3,31,1,1,17,17.0,17,0,3,22,7.3,9,0
10, LAC,1,2,2,100.0,2,2,100.0,week 18,3,1,5,279,55.8,0,2,37,18.5,8,1,0,0,,0,0,2,37,18.5,28,0
11, WAS,1,2,4,50.0,3,2,66.7,week 18,21,1,7,319,45.6,0,7,55,7.9,15,1,1,27,27.0,27,0,7,55,7.9,16,0
12, NYJ,1,2,3,66.7,0,0,,week 18,12,1,5,241,48.2,0,2,29,14.5,6,1,0,0,,0,0,2,29,14.5,20,0
13, DET,1,2,3,66.7,2,2,100.0,week 18,17,1,4,188,47.0,0,0,0,,22,1,4,94,23.5,26,0,0,0,,0,0
14, LV,1,2,2,100.0,1,1,100.0,week 18,1,1,2,122,61.0,0,2,8,4.0,18,1,1,25,25.0,25,0,2,8,4.0,8,0
15, PIT,1,2,2,100.0,2,2,100.0,week 18,13,1,3,144,48.0,0,3,20,6.7,1,1,0,0,,16,0,3,20,6.7,12,0
16, JAX,1,2,2,100.0,2,2,100.0,week 18,8,1,4,204,51.0,0,2,33,16.5,13,1,4,125,31.3,54,0,2,33,16.5,22,0
17, CIN,1,2,2,100.0,3,3,100.0,week 18,5,1,7,362,51.7,0,2,12,6.0,20,1,2,48,24.0,29,0,2,12,6.0,9,0
18, HOU,1,1,1,100.0,3,3,100.0,week 18,26,1,4,170,42.5,0,1,16,16.0,28,1,1,19,19.0,19,0,1,16,16.0,16,0
19, SF,1,1,1,100.0,5,5,100.0,week 18,25,1,5,218,43.6,0,2,22,11.0,11,1,1,33,33.0,33,0,2,22,11.0,14,0
20, NE,1,1,1,100.0,2,2,100.0,week 18,28,1,4,161,40.3,0,3,25,8.3,26,1,4,82,20.5,36,0,3,25,8.3,13,0
21, TB,1,1,1,100.0,2,2,100.0,week 18,9,1,5,253,50.6,0,1,12,12.0,19,1,1,24,24.0,24,0,1,12,12.0,12,0
22, NYG,1,1,1,100.0,1,1,100.0,week 18,24,1,6,264,44.0,0,0,0,,12,1,2,64,32.0,40,0,0,0,,0,0
23, CAR,1,1,1,100.0,1,1,100.0,week 18,18,1,6,281,46.8,0,1,2,2.0,30,1,1,18,18.0,18,0,1,2,2.0,2,0
24, KC,1,1,1,100.0,4,4,100.0,week 18,10,1,4,196,49.0,0,1,5,5.0,5,1,0,0,,0,0,1,5,5.0,5,0
25, IND,1,1,1,100.0,4,4,100.0,week 18,2,1,2,117,58.5,0,2,13,6.5,24,1,4,88,22.0,25,0,2,13,6.5,13,0
26, DEN,1,1,1,100.0,4,4,100.0,week 18,16,1,5,238,47.6,0,2,0,0.0,9,1,0,0,,0,0,2,0,0.0,0,0
27, NO,1,0,2,0.0,1,1,100.0,week 18,23,1,5,224,44.8,0,0,0,,2,1,0,0,,0,0,0,0,,0,0
28, CHI,1,0,0,,1,1,100.0,week 18,29,1,3,111,37.0,0,1,-2,-2.0,25,1,4,82,20.5,25,0,1,-2,-2.0,0,0
29, DAL,1,0,0,,1,0,0.0,week 18,14,1,10,478,47.8,0,4,13,3.3,16,1,2,51,25.5,29,0,4,13,3.3,7,0
30, BUF,1,0,0,,5,5,100.0,week 18,27,1,3,125,41.7,0,2,6,3.0,10,1,4,235,58.8,101,2,2,6,3.0,6,0
31, AZ,1,0,0,,2,1,50.0,week 18,6,1,3,154,51.3,0,2,17,8.5,23,1,4,93,23.3,33,0,2,17,8.5,10,0
32, CLE,1,0,0,,2,2,100.0,week 18,11,1,4,194,48.5,0,1,5,5.0,29,1,5,93,18.6,35,0,1,5,5.0,5,0
