Def Pass Rank,Team,GP,CMP,ATT,CMP%,PYA,PYPA,PYPG,TD,INT,SCK,Week
31, CAR,1,25,41,61,342,8.3,342,1,2,1,week 3
32, MIA,1,42,63,66.7,382,6.1,382,2,0,4,week 3
1, CHI,1,9,16,56.3,71,4.4,71,0,1,1,week 4
2, GB,1,15,21,71.4,104,5,104,1,0,4,week 4
3, IND,1,17,21,81,116,5.5,116,2,0,3,week 4
4, CLE,1,7,19,36.8,131,6.9,131,0,1,1,week 4
5, BUF,1,20,29,69,134,4.6,134,1,2,2,week 4
6, PHI,1,11,23,47.8,148,6.4,148,2,1,4,week 4
7, NYG,1,11,22,50,155,7,155,0,0,6,week 4
8, DAL,1,25,42,59.5,155,3.7,155,1,2,2,week 4
9, DEN,1,21,34,61.8,173,5.1,173,0,0,2,week 4
10, NYJ,1,17,26,65.4,178,6.8,178,0,4,3,week 4
11, AZ,1,22,36,61.1,180,5,180,1,2,2,week 4
12, JAX,1,16,25,64,191,7.6,191,0,1,2,week 4
13, SF,1,32,48,66.7,200,4.2,200,0,1,7,week 4
14, BAL,1,19,36,52.8,201,5.6,201,1,1,1,week 4
15, CAR,1,23,32,71.9,206,6.4,206,2,1,1,week 4
16, LV,1,17,25,68,214,8.6,214,2,0,3,week 4
17, LAC,1,26,35,74.3,215,6.1,215,2,2,4,week 4
18, WAS,1,15,27,55.6,217,8,217,2,0,1,week 4
19, ATL,1,21,35,60,226,6.5,226,0,1,1,week 4
20, MIN,1,20,28,71.4,227,8.1,227,1,0,2,week 4
21, TB,1,23,37,62.2,228,6.2,228,3,1,3,week 4
22, LAR,1,16,27,59.3,239,8.9,239,1,0,0,week 4
23, NE,1,21,35,60,244,7,244,2,1,1,week 4
24, PIT,1,19,37,51.4,250,6.8,250,2,2,1,week 4
25, NO,1,26,39,66.7,263,6.7,263,1,1,3,week 4
26, CIN,1,22,37,59.5,293,7.9,293,1,2,1,week 4
27, MIA,1,21,32,65.6,304,9.5,304,2,0,1,week 4
28, DET,1,23,30,76.7,320,10.7,320,2,0,0,week 4
29, TEN,1,27,37,73,327,8.8,327,2,1,3,week 4
30, HOU,1,27,39,69.2,338,8.7,338,2,0,1,week 4
31, KC,1,39,52,75,373,7.2,373,3,0,1,week 4
32, SEA,1,27,40,67.5,375,9.4,375,4,1,1,week 4
1, LAR,1,10,16,62.5,76,4.8,76,0,0,3,week 5
2, TB,1,14,25,56,110,4.4,110,1,0,5,week 5
3, JAX,1,16,24,66.7,132,5.5,132,0,0,1,week 5
4, WAS,1,15,25,60,136,5.4,136,1,0,5,week 5
5, NYJ,1,19,34,55.9,158,4.6,158,0,1,2,week 5
6, CIN,1,19,32,59.4,170,5.3,170,1,1,1,week 5
7, MIA,1,14,21,66.7,187,8.9,187,0,0,2,week 5
8, DET,1,17,21,81,188,9,188,1,1,0,week 5
9, BAL,1,24,35,68.6,190,5.4,190,1,1,3,week 5
10, MIN,1,15,21,71.4,193,9.2,193,1,0,2,week 5
11, DEN,1,26,41,63.4,200,4.9,200,0,2,6,week 5
12, SEA,1,17,25,68,203,8.1,203,2,1,1,week 5
13, NYG,1,25,39,64.1,207,5.3,207,2,0,2,week 5
14, NE,1,19,35,54.3,211,6,211,0,1,2,week 5
15, GB,1,21,27,77.8,213,7.9,213,0,0,1,week 5
16, AZ,1,26,36,72.2,218,6.1,218,0,0,2,week 5
17, KC,1,19,30,63.3,223,7.4,223,2,0,2,week 5
18, CLE,1,22,34,64.7,227,6.7,227,1,0,1,week 5
19, LAC,1,21,34,61.8,230,6.8,230,1,1,0,week 5
20, PHI,1,28,42,66.7,239,5.7,239,1,1,1,week 5
21, CAR,1,18,30,60,244,8.1,244,2,0,2,week 5
22, SF,1,25,42,59.5,244,5.8,244,0,1,6,week 5
