Def Pass Rank,Team,GP,CMP,ATT,CMP%,PYA,PYPA,PYPG,TD,INT,SCK,Week
24, MIA,1,39,51,76.5,350,6.9,350,1,0,4,week 14
25, TEN,1,30,42,71.4,368,8.8,368,3,0,0,week 14
26, DET,1,31,41,75.6,394,9.6,394,2,0,4,week 14
1, GB,1,12,21,57.1,84,4,84,1,1,5,week 15
2, NO,1,13,26,50,89,3.4,89,0,0,4,week 15
3, PHI,1,14,22,63.6,91,4.1,91,2,0,6,week 15
4, LV,1,13,31,41.9,112,3.6,112,0,0,0,week 15
5, KC,1,14,29,48.3,125,4.3,125,2,0,1,week 15
6, CLE,1,17,30,56.7,126,4.2,126,0,1,3,week 15
7, BAL,1,18,28,64.3,140,5,140,1,0,3,week 15
8, AZ,1,21,26,80.8,156,6,156,1,1,7,week 15
9, LAC,1,18,26,69.2,157,6,157,0,1,4,week 15
10, WAS,1,21,32,65.6,160,5,160,0,0,0,week 15
11, DEN,1,20,36,55.6,167,4.6,167,0,3,3,week 15
12, CAR,1,17,22,77.3,169,7.7,169,0,0,1,week 15
13, MIN,1,19,33,57.6,170,5.2,170,1,0,3,week 15
14, TB,1,27,39,69.2,184,4.7,184,4,1,2,week 15
15, PIT,1,14,23,60.9,188,8.2,188,1,0,4,week 15
16, SF,1,31,44,70.5,207,4.7,207,1,0,3,week 15
17, LAR,1,22,30,73.3,207,6.9,207,1,1,3,week 15
18, NE,1,20,38,52.6,211,5.6,211,3,1,3,week 15
19, SEA,1,17,26,65.4,211,8.1,211,2,0,1,week 15
20, ATL,1,13,19,68.4,214,11.3,214,3,0,2,week 15
21, BUF,1,17,30,56.7,217,7.2,217,2,0,2,week 15
22, NYG,1,17,29,58.6,228,7.9,228,1,0,3,week 15
23, JAX,1,23,30,76.7,243,8.1,243,3,2,3,week 15
24, NYJ,1,23,38,60.5,252,6.6,252,1,0,0,week 15
25, DET,1,18,35,51.4,287,8.2,287,2,1,4,week 15
26, TEN,1,28,42,66.7,291,6.9,291,0,2,3,week 15
27, MIA,1,25,40,62.5,296,7.4,296,4,0,2,week 15
28, CIN,1,30,44,68.2,304,6.9,304,3,2,1,week 15
29, CHI,1,22,37,59.5,309,8.4,309,0,2,1,week 15
30, DAL,1,27,42,64.3,311,7.4,311,4,1,1,week 15
31, HOU,1,36,41,87.8,313,7.6,313,2,0,2,week 15
32, IND,1,34,55,61.8,426,7.7,426,4,2,7,week 15
1, HOU,1,14,23,60.9,88,3.8,88,0,2,4,week 16
2, CLE,1,8,15,53.3,92,6.1,92,0,1,0,week 16
3, LAC,1,17,29,58.6,104,3.6,104,0,3,7,week 16
4, ATL,1,9,17,52.9,115,6.8,115,1,0,0,week 16
5, NO,1,15,31,48.4,125,4,125,0,1,2,week 16
6, BUF,1,18,28,64.3,129,4.6,129,1,1,2,week 16
7, PIT,1,16,30,53.3,143,4.8,143,1,3,3,week 16
8, JAX,1,19,33,57.6,161,4.9,161,0,1,3,week 16
9, CHI,1,15,26,57.7,172,6.6,172,2,2,1,week 16
10, KC,1,25,40,62.5,200,5,200,1,1,2,week 16
11, TB,1,25,46,54.3,204,4.4,204,0,1,1,week 16
12, BAL,1,22,33,66.7,212,6.4,212,0,0,2,week 16
13, IND,1,24,31,77.4,213,6.9,213,0,1,4,week 16
14, TEN,1,20,32,62.5,215,6.7,215,1,1,1,week 16
15, NYJ,1,20,31,64.5,218,7,218,0,0,1,week 16
16, WAS,1,15,22,68.2,218,9.9,218,2,1,3,week 16
17, LAR,1,19,35,54.3,219,6.3,219,1,4,6,week 16
18, SEA,1,16,28,57.1,220,7.9,220,2,0,1,week 16
19, MIA,1,24,38,63.2,222,5.8,222,1,1,2,week 16
20, CIN,1,21,33,63.6,224,6.8,224,2,0,4,week 16
21, DEN,1,24,28,85.7,230,8.2,230,2,0,0,week 16
22, LV,1,26,39,66.7,244,6.3,244,1,1,0,week 16
23, DET,1,15,22,68.2,250,11.4,250,1,0,0,week 16
24, NYG,1,34,48,70.8,270,5.6,270,3,0,4,week 16
25, SF,1,25,34,73.5,270,7.9,270,3,1,2,week 16
26, AZ,1,32,48,66.7,281,5.9,281,1,2,0,week 16
27, GB,1,16,25,64,294,11.8,294,1,3,2,week 16
28, PHI,1,27,35,77.1,304,8.7,304,3,1,6,week 16
29, MIN,1,30,42,71.4,319,7.6,319,1,1,3,week 16
30, CAR,1,25,42,59.5,336,8,336,3,0,2,week 16
31, DAL,1,24,40,60,355,8.9,355,2,2,0,week 16
32, NE,1,40,52,76.9,369,7.1,369,3,2,2,week 16
1, DET,1,7,21,33.3,30,1.4,30,1,1,7,week 17
2, LAC,1,11,19,57.9,111,5.8,111,0,0,3,week 17
3, PIT,1,14,21,66.7,120,5.7,120,1,1,1,week 17
4, NYG,1,17,27,63,124,4.6,124,1,1,2,week 17
5, CLE,1,16,28,57.1,124,4.4,124,0,3,3,week 17
6, NYJ,1,18,29,62.1,148,5.1,148,2,0,4,week 17
7, MIN,1,17,27,63,152,5.6,152,1,0,1,week 17
8, BAL,1,15,27,55.6,153,5.7,153,1,0,2,week 17
9, WAS,1,9,18,50,155,8.6,155,3,0,5,week 17
10, AZ,1,19,26,73.1,166,6.4,166,0,0,1,week 17
11, HOU,1,22,29,75.9,168,5.8,168,0,2,2,week 17
12, MIA,1,20,33,60.6,172,5.2,172,2,0,3,week 17
13, IND,1,19,24,79.2,177,7.4,177,2,0,0,week 17
14, PHI,1,20,24,83.3,183,7.6,183,0,1,7,week 17
15, KC,1,26,38,68.4,190,5,190,1,1,4,week 17
16, JAX,1,25,44,56.8,193,4.4,193,0,0,2,week 17
17, SEA,1,23,46,50,204,4.4,204,0,2,4,week 17
18, ATL,1,24,40,60,213,5.3,213,1,0,2,week 17
19, DAL,1,20,39,51.3,220,5.6,220,1,1,2,week 17
20, CHI,1,21,29,72.4,239,8.2,239,3,0,2,week 17
21, LAR,1,24,31,77.4,239,7.7,239,2,0,0,week 17
22, GB,1,22,35,62.9,244,7,244,2,3,2,week 17
23, NO,1,18,32,56.3,246,7.7,246,1,1,6,week 17
24, NE,1,24,40,60,247,6.2,247,2,2,2,week 17
25, TEN,1,29,41,70.7,274,6.7,274,2,2,1,week 17
26, LV,1,22,35,62.9,284,8.1,284,2,1,0,week 17
27, TB,1,23,37,62.2,326,8.8,326,3,1,2,week 17
28, DEN,1,29,42,69,328,7.8,328,3,1,0,week 17
29, SF,1,23,34,67.6,365,10.7,365,3,2,0,week 17
30, CAR,1,34,45,75.6,411,9.1,411,3,0,3,week 17
1, NO,1,5,15,33.3,32,2.1,32,0,2,2,week 18
2, WAS,1,14,38,36.8,118,3.1,118,1,1,1,week 18
3, SEA,1,13,26,50,123,4.7,123,0,1,5,week 18
4, ATL,1,22,34,64.7,136,4,136,2,0,0,week 18
5, NYJ,1,20,31,64.5,140,4.5,140,0,0,1,week 18
6, MIN,1,13,27,48.1,141,5.2,141,1,2,1,week 18
7, AZ,1,15,20,75,142,7.1,142,3,0,4,week 18
8, MIA,1,18,33,54.5,149,4.5,149,0,0,0,week 18
9, PHI,1,23,40,57.5,155,3.9,155,1,0,2,week 18
10, DAL,1,11,19,57.9,158,8.3,158,1,1,3,week 18
11, CAR,1,15,25,60,161,6.4,161,1,0,1,week 18
12, JAX,1,20,29,69,165,5.7,165,1,1,4,week 18
13, PIT,1,19,29,65.5,173,6,173,2,2,7,week 18
14, KC,1,22,36,61.1,180,5,180,1,1,6,week 18
15, LV,1,18,26,69.2,181,7,181,1,0,2,week 18
16, DET,1,17,27,63,188,7,188,1,1,2,week 18
17, CLE,1,13,29,44.8,189,6.5,189,1,0,1,week 18
18, SF,1,20,27,74.1,194,7.2,194,1,3,3,week 18
19, HOU,1,23,35,65.7,202,5.8,202,2,2,2,week 18
20, BAL,1,25,42,59.5,202,4.8,202,1,0,2,week 18
21, TEN,1,20,32,62.5,203,6.3,203,1,0,1,week 18
22, LAR,1,19,31,61.3,205,6.6,205,1,2,3,week 18
23, NYG,1,20,35,57.1,207,5.9,207,0,1,3,week 18
24, TB,1,19,30,63.3,208,6.9,208,2,0,2,week 18
25, GB,1,23,34,67.6,219,6.4,219,0,0,1,week 18
26, BUF,1,26,40,65,234,5.9,234,3,3,1,week 18
27, NE,1,19,31,61.3,237,7.6,237,3,1,2,week 18
28, LAC,1,13,24,54.2,266,11.1,266,3,1,2,week 18
29, CIN,1,19,44,43.2,276,6.3,276,0,2,4,week 18
30, DEN,1,30,44,68.2,293,6.7,293,3,0,1,week 18
31, IND,1,24,40,60,301,7.5,301,3,2,1,week 18
32, CHI,1,28,33,84.8,341,10.3,341,1,1,0,week 18
