Def Rush Rank,Team,GP,ATT,RY,YPC,RYPG,TD,FUM,FL,Week
2, TB,1,14,39,2.8,39,0,1,1,week 10
3, SF,1,16,51,3.2,51,0,1,0,week 10
4, DEN,1,23,63,2.7,63,0,2,1,week 10
5, TEN,1,25,65,2.6,65,0,3,0,week 10
6, AZ,1,20,66,3.3,66,1,2,1,week 10
7, KC,1,16,75,4.7,75,0,0,0,week 10
8, IND,1,24,77,3.2,77,1,1,0,week 10
9, LAR,1,26,78,3,78,2,3,0,week 10
10, WAS,1,20,94,4.7,94,1,3,3,week 10
11, CHI,1,31,95,3.1,95,2,1,0,week 10
12, NYG,1,19,101,5.3,101,0,2,1,week 10
13, MIA,1,24,112,4.7,112,1,1,1,week 10
14, CAR,1,25,138,5.5,138,0,0,0,week 10
15, BUF,1,25,147,5.9,147,2,2,0,week 10
16, PHI,1,49,152,3.1,152,2,2,1,week 10
17, JAX,1,27,155,5.7,155,0,3,2,week 10
18, LAC,1,41,157,3.8,157,2,1,1,week 10
19, GB,1,31,159,5.1,159,1,1,0,week 10
