Def Rush Rank,Team,GP,ATT,RY,YPC,RYPG,TD,FUM,FL,Week
6, SF,1,20,61,3.1,61,1,1,1,week 18
7, WAS,1,27,64,2.4,64,0,2,1,week 18
8, ATL,1,20,86,4.3,86,0,1,1,week 18
9, NE,1,25,90,3.6,90,0,2,2,week 18
10, KC,1,25,99,4,99,0,2,1,week 18
11, DET,1,28,103,3.7,103,0,1,1,week 18
12, GB,1,25,104,4.2,104,2,1,0,week 18
13, BUF,1,23,107,4.7,107,0,1,0,week 18
14, CIN,1,27,110,4.1,110,1,2,2,week 18
15, MIN,1,22,118,5.4,118,1,0,0,week 18
16, PHI,1,21,129,6.1,129,1,0,0,week 18
17, PIT,1,22,134,6.1,134,0,1,0,week 18
18, NYG,1,34,135,4,135,1,0,0,week 18
19, CHI,1,38,141,3.7,141,2,2,1,week 18
20, CAR,1,32,143,4.5,143,0,1,1,week 18
21, SEA,1,28,146,5.2,146,1,0,0,week 18
22, JAX,1,39,147,3.8,147,0,2,1,week 18
23, CLE,1,37,148,4,148,2,3,1,week 18
24, DAL,1,41,151,3.7,151,1,1,0,week 18
25, NYJ,1,32,162,5.1,162,0,1,0,week 18
26, LV,1,28,168,6,168,3,0,0,week 18
27, AZ,1,37,169,4.6,169,2,0,0,week 18
28, NO,1,41,171,4.2,171,1,3,0,week 18
29, TB,1,35,174,5,174,1,1,1,week 18
30, HOU,1,33,196,5.9,196,1,4,1,week 18
31, LAR,1,36,197,5.5,197,0,0,0,week 18
32, LAC,1,36,205,5.7,205,1,3,1,week 18
