Def Rec Rank,Team,GP,REC,RY,YP,RYPG,TD,FUM,FL,Week
21, LAR,1,24,239,7.7,239,2,0,0,week 17
22, GB,1,22,244,7,244,2,3,1,week 17
23, NO,1,18,246,7.7,246,1,2,0,week 17
24, NE,1,24,247,6.2,247,2,0,0,week 17
25, TEN,1,29,274,6.7,274,2,1,1,week 17
26, LV,1,22,284,8.1,284,2,0,0,week 17
27, TB,1,23,326,8.8,326,3,6,2,week 17
28, DEN,1,29,328,7.8,328,3,1,1,week 17
29, SF,1,23,365,10.7,365,3,1,0,week 17
30, CAR,1,34,411,9.1,411,3,1,1,week 17
1, NO,1,5,32,2.1,32,0,3,0,week 18
2, WAS,1,14,118,3.1,118,1,2,1,week 18
3, SEA,1,13,123,4.7,123,0,0,0,week 18
4, ATL,1,22,136,4,136,2,1,1,week 18
5, NYJ,1,20,140,4.5,140,0,1,0,week 18
6, MIN,1,13,141,5.2,141,1,0,0,week 18
7, AZ,1,15,142,7.1,142,3,0,0,week 18
8, MIA,1,18,149,4.5,149,0,2,0,week 18
9, PHI,1,23,155,3.9,155,1,0,0,week 18
10, DAL,1,11,158,8.3,158,1,1,0,week 18
11, CAR,1,15,161,6.4,161,1,1,1,week 18
12, JAX,1,20,165,5.7,165,1,2,1,week 18
13, PIT,1,19,173,6,173,2,1,0,week 18
14, KC,1,22,180,5,180,1,2,1,week 18
15, LV,1,18,181,7,181,1,0,0,week 18
16, DET,1,17,188,7,188,1,1,1,week 18
17, CLE,1,13,189,6.5,189,1,3,1,week 18
18, SF,1,20,194,7.2,194,1,1,1,week 18
19, BAL,1,25,202,4.8,202,1,1,1,week 18
20, HOU,1,23,202,5.8,202,2,4,1,week 18
21, TEN,1,20,203,6.3,203,1,1,1,week 18
22, LAR,1,19,205,6.6,205,1,0,0,week 18
23, NYG,1,20,207,5.9,207,0,0,0,week 18
24, TB,1,19,208,6.9,208,2,1,1,week 18
25, GB,1,23,219,6.4,219,0,1,0,week 18
26, BUF,1,26,234,5.8,234,3,1,0,week 18
27, NE,1,19,237,7.6,237,3,2,2,week 18
28, LAC,1,13,266,11.1,266,3,3,1,week 18
29, CIN,1,19,276,6.3,276,0,2,2,week 18
30, DEN,1,30,293,6.7,293,3,3,2,week 18
31, IND,1,24,301,7.5,301,3,2,1,week 18
32, CHI,1,28,341,10.3,341,1,2,1,week 18
