Def Rec Rank,Team,GP,REC,RY,YP,RYPG,TD,FUM,FL,Week
19, ATL,1,21,226,6.5,226,0,1,1,week 4
20, MIN,1,20,227,8.1,227,1,2,2,week 4
21, TB,1,23,228,6.2,228,3,0,0,week 4
22, LAR,1,16,239,8.9,239,1,1,0,week 4
23, NE,1,21,244,7,244,2,2,1,week 4
24, PIT,1,19,250,6.8,250,2,0,0,week 4
25, NO,1,26,263,6.7,263,1,0,0,week 4
26, CIN,1,22,293,7.9,293,1,0,0,week 4
27, MIA,1,21,304,9.5,304,2,0,0,week 4
28, DET,1,23,320,10.7,320,2,1,1,week 4
29, TEN,1,27,327,8.8,327,2,3,2,week 4
30, HOU,1,27,338,8.7,338,2,2,1,week 4
31, KC,1,39,373,7.2,373,3,2,2,week 4
32, SEA,1,27,375,9.4,375,4,1,1,week 4
1, LAR,1,10,76,4.8,76,0,2,0,week 5
2, TB,1,14,110,4.4,110,1,1,0,week 5
3, JAX,1,16,132,5.5,132,0,0,0,week 5
4, WAS,1,15,136,5.4,136,1,0,0,week 5
5, NYJ,1,19,158,4.6,158,0,1,1,week 5
6, CIN,1,19,170,5.3,170,1,1,0,week 5
7, MIA,1,14,187,8.9,187,0,0,0,week 5
8, DET,1,17,188,9,188,1,1,0,week 5
9, BAL,1,24,190,5.4,190,1,0,0,week 5
10, MIN,1,15,193,9.2,193,1,3,1,week 5
11, DEN,1,26,200,4.9,200,0,4,0,week 5
12, SEA,1,17,203,8.1,203,2,3,1,week 5
13, NYG,1,25,207,5.3,207,2,2,0,week 5
14, NE,1,19,211,6,211,0,1,1,week 5
15, GB,1,21,213,7.9,213,0,1,0,week 5
16, AZ,1,26,218,6.1,218,0,1,0,week 5
17, KC,1,19,223,7.4,223,2,1,0,week 5
18, CLE,1,22,227,6.7,227,1,0,0,week 5
19, LAC,1,21,230,6.8,230,1,0,0,week 5
20, PHI,1,28,239,5.7,239,1,0,0,week 5
21, SF,1,25,244,5.8,244,0,2,0,week 5
22, CAR,1,18,244,8.1,244,2,2,1,week 5
23, NO,1,16,245,9.8,245,3,2,1,week 5
24, IND,1,21,250,6.4,250,0,2,0,week 5
25, LV,1,29,265,6.2,265,4,0,0,week 5
26, DAL,1,29,285,6.5,285,1,2,2,week 5
27, HOU,1,25,286,6.1,286,0,0,0,week 5
28, BUF,1,34,310,6,310,0,1,1,week 5
29, CHI,1,33,312,7.4,312,1,1,0,week 5
30, TEN,1,25,342,9,342,2,3,0,week 5
31, ATL,1,35,351,6.8,351,1,0,0,week 5
32, PIT,1,22,432,12,432,4,2,1,week 5
1, CHI,1,12,86,3.9,86,0,1,0,week 6
2, GB,1,10,99,5.5,99,0,0,0,week 6
3, LAR,1,13,110,5.2,110,0,0,0,week 6
4, SF,1,13,121,8.6,121,2,1,0,week 6
5, DAL,1,15,132,5.3,132,2,1,0,week 6
6, IND,1,20,136,6.2,136,1,2,1,week 6
7, WAS,1,14,154,5.7,154,1,2,1,week 6
8, BAL,1,19,155,5.7,155,2,1,1,week 6
9, MIA,1,20,156,5.2,156,2,1,0,week 6
